,screen_name,text,followers_count,favorite_count,retweet_count,created_at,location
41,pipihBita,"RT @rmol_id: Rocky Gerung: Buat Apa Ibukota Baru, Memerintah Kan Bisa Dari Smartphone #KlikRMOLID #RepublikMerdeka https://t.co/elSARwCiUr",1569,0,226,2019-08-18 23:48:29,"Kota Surabaya, Jawa Timur"
42,_syaif_,RT @rockygerung: Buat apa ibukota baru? Memerintah bisa dari smartphone. Kredit HP baru aja cukup.,1446,0,1546,2019-08-18 23:48:12,"Nangro Aceh Darussalam, Indone"
43,setansarap,@GagakSeto_02 Yang akan memindahkan Ibukota karena isu sudah teralihkan dengan isu agama.,201,0,0,2019-08-18 23:48:05,On the Earth Under Sky
44,bundanyazinov,"RT @dr_koko28: Ibukota kita gak usah pindah. Cukup ke Bogor.

Itu juga gak perlu lahan baru. Pake aja sepetak lahan di Istana. Bangun gedun…",473,0,196,2019-08-18 23:47:42,"Jakarta Utara, DKI Jakarta"
45,Happrast_,"RT @chutatoes: wendy nih udah cantik, pinter, banyak bakatnya, hebat juga bisa batalkan pindahnya ibukota https://t.co/rzCOsInTrw",688,0,1,2019-08-18 23:47:16,Planet kedamaian
46,AprianurSucian1,"RT @geloraco: Rocky Gerung: Buat Apa Ibukota Baru, Memerintah Kan Bisa dari Smartphone
 #BatalkanPindahIbuKota https://t.co/yIWDg50dP4",68,0,11,2019-08-18 23:47:15,
47,SandelaDafa,RT @rockygerung: Buat apa ibukota baru? Memerintah bisa dari smartphone. Kredit HP baru aja cukup.,11,0,1546,2019-08-18 23:47:12,Nomaden
48,fikri_2104,"RT @rmol_id: Rocky Gerung: Buat Apa Ibukota Baru, Memerintah Kan Bisa Dari Smartphone #KlikRMOLID #RepublikMerdeka https://t.co/elSARwCiUr",163,0,226,2019-08-18 23:47:08,Kab. Tasikmalaya
49,Vinozein,RT @emilsalim2010: Presiden Jokowi minta izin DPR pindah ibukota Negara. Sebaiknya DPR buka kesempatan bagi publik umum mempersoalkan: apa…,182,0,2439,2019-08-18 23:47:05,Tangerang
50,negamonsta,"Lagipula, pindah Ibukota kalo cuma dijadikan Ibukota administrasi gak masalah. Kalo sampai jadi ibukota ekonomi jug… https://t.co/G8GCRnuTzq",1,0,0,2019-08-18 23:46:52,
51,NazrielR_92,RT @corbuzier: Ada yg nanya sama gw... Kalo ibukota gak di Jakarta lagi.. Om Ded jadi org kampung dong ya... GUE JAWAB APA COBA.. 🤣🤣😂,665,0,78,2019-08-18 23:46:50,"yala Thailand,  Pontianak "
52,rahma_dwi17,RT @rockygerung: Buat apa ibukota baru? Memerintah bisa dari smartphone. Kredit HP baru aja cukup.,264,0,1546,2019-08-18 23:46:34,"Bandung, Indonesia"
53,aziizziizah,Apa aku harus hijrah ke ibukota?? 🥺tapi kannn ibukota mau pindahh 🙄,308,0,0,2019-08-18 23:46:34,"boyolali, indonesia"
54,yeppi73,"RT @AndalasPeople: @MichelAdamAnyar Ada agenda China si belakang pemindahan ibukota itu

#BelaUASBelaUlama
#BelaUASBelaUlama",77,0,1,2019-08-18 23:46:28,
55,chutatoes,"wendy nih udah cantik, pinter, banyak bakatnya, hebat juga bisa batalkan pindahnya ibukota https://t.co/rzCOsInTrw",1272,0,1,2019-08-18 23:46:27,
56,yu2n_umni,"RT @rmol_id: Rocky Gerung: Buat Apa Ibukota Baru, Memerintah Kan Bisa Dari Smartphone #KlikRMOLID #RepublikMerdeka https://t.co/elSARwCiUr",102,0,226,2019-08-18 23:46:20,
57,AlamsFahmi,RT @rockygerung: Buat apa ibukota baru? Memerintah bisa dari smartphone. Kredit HP baru aja cukup.,123,0,1546,2019-08-18 23:46:13,cilegon
58,yuniwiyendari,RT @rockygerung: Buat apa ibukota baru? Memerintah bisa dari smartphone. Kredit HP baru aja cukup.,324,0,1546,2019-08-18 23:46:02,"Duri - Dumai, Riau"
59,airbef_air,"Skrg Indonesia punya superhero macem geng Marvel...
Mudah²an kece &amp; berkelas yaa.
Mungkin superhero nya bs numpas k… https://t.co/MGqriyDcu8",218,0,0,2019-08-18 23:45:52,Bekasi
60,Firmanpaytren3,"RT @rmol_id: Rocky Gerung: Buat Apa Ibukota Baru, Memerintah Kan Bisa Dari Smartphone #KlikRMOLID #RepublikMerdeka https://t.co/elSARwCiUr",300,0,226,2019-08-18 23:45:45,
61,MSA216_,RT @rockygerung: Buat apa ibukota baru? Memerintah bisa dari smartphone. Kredit HP baru aja cukup.,166,0,1546,2019-08-18 23:44:46,"Bekasi Selatan, Indonesia"
62,wonerudib131,@jjaemraa_ INI NIH YANG BIKIN AKU GAK SETUJU KALO KALIMANTAN JADI IBUKOTA,166,0,0,2019-08-18 23:44:44,moon🌙
63,RatuKidul98,"@corbuzier jakarta berpolusi itu karna jarang pohon/hutan alias GUNDUL
kalo ibukota pindah ke Kalimantan hutannya d… https://t.co/yFEjSyxBCW",8934,8,1,2019-08-18 23:44:38,
64,SyaefullahHamid,"RT @rmol_id: Rocky Gerung: Buat Apa Ibukota Baru, Memerintah Kan Bisa Dari Smartphone #KlikRMOLID #RepublikMerdeka https://t.co/elSARwCiUr",947,0,226,2019-08-18 23:44:35,Jakarta Timur
65,auuuuuuuuuuuuuw,@gampangkangenn Ibukota,574,0,0,2019-08-18 23:44:11,
